Проблема	Вероятная причина	Аффирмация
Узелковые утолщения	Обида, безысходность и уязвлённое из-за карьеры самолюбие.	Я расстаюсь с моей внутренней медлительностью и не мешаю себе добиваться успеха.
Укачивание при движении. См. также: «Укачивание (при езде в автомобиле или поезде)», «Морская болезнь»	Страх. Боязнь, что вы уже потеряли контроль над собой.	Я всегда контролирую свои мысли. Я — в безопасности. Я люблю и одобряю себя.
Укачивание (при езде в автомобиле или поезде)	Страх. Зависимость. Чувство загнанности в тупик.	Я легко преодолеваю пространство и время. Меня окружает только любовь.
Укусы	Страх. Открытость для всяческого пренебрежения.	Я прощаю себя и люблю себя с каждым днём всё больше.
Укусы животных	Гнев, обращённый вовнутрь. Потребность в наказании.	Я — свободен (свободна)
Укусы насекомых	Чувство вины из-за мелочей.	Я не чувствую никакого раздражения.
Усталость	Сопротивление, скука. Занятие нелюбимым делом.	Я с энтузиазмом отношусь к жизни, энергия и энтузиазм переполняют меня.
Уши	Выражение способности слышать.	Я слышу и люблю.
Фиброзно-кистозная дегенерация	Полная уверенность, что жизнь не принесёт ничего хорошего, «Бедный (бедная) я!»	Жизнь меня любит, и я люблю жизнь. Теперь я свободно вдыхаю жизнь полной грудью.
Фиброма и киста. См. также: «Женские болезни»	Помните оскорбление, нанесённое партнёром. Удар по женскому самолюбию.	Я предаю забвению то во мне, что стало причиной этого события. Я в жизни творю только добро.
Флебит (воспаление вен)	Гнев и разочарование. Переложение вины на других за то, что в собственной жизни мало радости или она совсем отсутствует.	Радость свободно течёт во мне, и нет разногласий с жизнью.
Фригидность	Страх. Неприятие наслаждения. Уверенность, что секс — это плохо. Бесчувственные партнёры. Боязнь отца.	Получать наслаждение от своего собственного тела — абсолютно безопасно. Я в восторге от того, что я — женщина.
Фурункул. См. также: «Карбункул»	Гнев. Кипение. Смятение.	Я выражаю радость и любовь. Душа моя спокойна.
Холестерин (повышенное содержание)	Засорение каналов поступления радости. Боязнь принять радость.	Я люблю жизнь. Мои каналы радости широко открыты. Принимать — абсолютно безопасно.
Храпение	Упорное нежелание расстаться с устаревшими стереотипами.	Я предаю забвению всё в моей голове, что не похоже на любовь и радость. Я перехожу от прошлого к новому, свежему, жизненному.
Хронические болезни	Нежелание перемен. Страх перед будущим. Чувство опасности.	Я хочу изменяться и расти. Я создаю новое и безопасное будущее.
Царапины (ссадины)	Ощущение, что жизнь вас терзает, что жизнь — грабительница, что вас грабят.	Я приношу жизни благодарность за её щедрость ко мне. На мне лежит благословение.
Целлюлит (воспаление подкожной клетчатки)	Накопленный гнев и самонаказание.	Я прощаю других. Я прощаю себя. У меня есть свобода любить и наслаждаться жизнью.
Циркуляция	Символизирует способность чувствовать и выражать эмоции позитивно.	Моя свобода даёт любви и радости возможность циркулировать в каждом уголке моего сознания. Я люблю жизнь.
Цистит (болезнь мочевого пузыря)	Тревожное состояние. Цепляетесь за старые идеи. Боитесь дать себе свободу. разгневанность.	Я с удовольствием расстаюсь с прошлым и приветствую всё новое в моей жизни. Я — в полной безопасности.
Челюсть (мышечно-лицевой синдром)	Гнев. Обида. Желание отомстить.	Я очень хочу изменить в себе то, что вызвало эту болезнь. Я люблю и ценю себя. Ничто мне не грозит.
Чесотка	Заражённое мышление. Позволяете другим действовать вам на нервы.	Я — живое, любящее и радостное выражение жизни. Я принадлежу только себе.
Шея (шейный отдел позвоночника)	Символизирует гибкость. Способность видеть то, что происходит за спиной.	У меня добрые отношения с жизнью.
Шея: болезни. См. также: «Искривление позвоночника», «Ригидность затылочных мышц»	Нежелание видеть другие стороны вопроса. Упрямство. Отсутствие гибкости.	Легко и гибко рассматриваю я все стороны вопросы. Есть множество путей подхода к делу или его решения. Всё идет хорошо.
Шум в ушах	Нежелание слышать внутренний голос. упрямство.	Я доверяю моему высшему «я», с любовью прислушиваюсь к моему внутреннему голосу. Я отвергаю всё, что не похоже на проявление любви.
Щитовидная железа	Самая главная железа имунной системы. Чувство, что вас атаковала жизнь. Они стремятся добраться до меня.	Мои добрые мысли укрепляют силу моей иммунной системы. У меня надёжная защита изнутри и снаружи. Я слушаю себя с любовью.
Щитовидная железа: болезни. См. также: «Зоб», «Гипертиреоз», «Гипотиреоз»	Унижение. «Мне никогда не удастся делать то, что я хочу. Когда же придёт мой черёд?»	Я выхожу за рамки всех ограничений, свободно и творчески выражаю себя.
Эпилепсия	Мания преследования. Отказ от жизни. Ощущение интенсивной борьбы. Насилие над собой.	Отныне я считаю жизнь вечной и радостной.
Экзема	Непримиримый антагонизм. Психические срывы.	Мир и гармония, любовь и радость окружают меня и постоянно пребывают во мне. Мне не угрожает никто и ничто.
Эмфизема	Вы страшитесь вдыхать жизнь полной грудью. Недостойны жизни.	Я от рождения имею право на свободу и полноту жизни. Я люблю жизнь. Я люблю себя.
Эндометриоз	Ощущение незащищённости, огорчение и разочарование. Замена любви к себе сахаром. Упрёки.	Я — сильная и желанная. Прекрасно быть женщиной. Я люблю себя, я довольна своими достижениями.
Энурез (недержание мочи)	Страх перед родителем, обычно — отцом.	На этого ребёнка смотрят с любовью, его жалеют и понимают. Всё в порядке
Эпидермофития стопы	Безысходность от того, что тебя не признают. Неспособность к лёгкому продвижению вперёд.	Я люблю и одобряю себя. Я не препятствую своему продвижению вперёд. Это движение — безопасно.
Ягодицы	Символизируют силу. Дряблые ягодицы — утрата силы.	Я разумно пользуюсь моей силой. Я — человек сильный. Никакой опасности. Всё идёт хорошо.
Язва. См. также: «Изжога», «Язва желудка или двенадцатиперстной кишки», «Желудочные болезни»	Страх. Твёрдая уверенность, что вы ущербны. Что вас гложет?	Я люблю и одобряю себя. В моей душе покой. Всё идёт хорошо.
Язва пептическая (желудка или двенадцатиперстной кишки). См. также: «Изжога», «Желудочные болезни», «Язва»	Страх. Убеждённость в своей ущербности. Стремление угодить.	Я люблю и одобряю себя. В моей душе покой. Я — замечательная личность.
Язык	Символизирует способность с радостью вкушать удовольствие жизни.	Я радуюсь великой щедрости моей жизни.
Яички	Мужской принцип: Мужественность.	Мужчиной быть безопасно.
Яичники	Символизируют созидательные центры.	Мой созидательный поток уравновешен.
Ячмень. См. также: «Глазные болезни»	Вы сморите на жизнь злыми глазами. Злость на кого-то.	Теперь я смотрю на всё с любовью и радостью.
